student_id,grade_level,attendance_pct,grades_avg,discipline_count,clubs_participation,family_support,hours_study_per_week,dropout_risk,dropout,risk_score,risk_level
1,7,94,72,1,0,5,9.6,0,0,23.6,Low
2,4,93,73,0,1,1,10.4,1,0,18.7,Low
3,11,71,45,0,0,4,19.1,0,0,41.8,Medium
4,8,78,75,0,1,2,8.2,1,0,21.9,Low
5,5,78,86,0,0,4,5.1,0,0,15.1,Low
6,7,77,56,2,1,4,0.0,0,0,43.4,Medium
7,10,76,76,0,1,3,3.2,0,0,21.8,Low
8,3,78,83,0,0,3,12.9,0,0,17.0,Low
9,7,88,78,0,0,4,10.9,0,0,16.9,Low
10,11,89,80,1,0,2,2.6,1,0,20.6,Low
11,11,84,66,0,1,4,17.9,0,0,25.3,Low
12,8,80,53,2,0,3,9.3,0,0,44.4,Medium
13,5,97,63,2,1,2,9.8,1,0,33.4,Medium
14,4,84,61,1,0,4,17.0,0,0,33.3,Medium
15,8,94,68,0,1,5,15.0,0,0,21.0,Low
16,8,79,86,0,1,5,11.1,0,0,14.7,Low
17,3,89,50,0,1,4,11.3,0,0,33.4,Medium
18,6,98,72,1,0,2,11.7,1,0,22.7,Low
19,5,58,54,2,0,4,7.0,1,0,50.3,Medium
20,2,78,58,0,1,4,9.1,0,0,31.9,Medium
21,8,90,78,3,0,3,10.3,0,0,31.4,Medium
22,12,97,52,1,0,5,7.5,0,0,34.7,Medium
23,6,87,81,0,0,3,4.1,0,0,15.5,Low
24,2,85,49,2,0,3,6.9,0,0,45.3,Medium
25,12,100,80,2,0,4,4.0,0,0,22.1,Low
26,5,97,46,0,0,3,8.3,0,0,33.5,Medium
27,1,76,60,1,0,5,0.9,0,0,36.2,Medium
28,12,86,98,2,1,3,9.4,0,0,15.6,Low
29,10,88,95,2,1,5,1.5,0,0,16.6,Low
30,6,100,63,2,1,3,6.4,0,0,32.4,Medium
31,12,93,75,1,1,5,10.0,0,0,22.1,Low
32,9,83,88,1,0,3,11.2,0,0,17.5,Low
33,1,87,80,0,0,3,10.7,0,0,16.1,Low
34,11,66,65,3,0,2,9.3,1,0,46.5,Medium
35,11,94,58,0,0,5,3.5,0,0,27.0,Low
36,10,91,83,0,1,5,11.9,0,0,12.9,Low
37,12,97,86,1,0,5,3.6,0,0,14.3,Low
38,12,83,95,0,0,1,12.4,1,0,8.5,Low
39,3,86,44,0,0,3,10.5,0,0,38.0,Medium
40,12,80,51,2,0,5,13.4,0,0,45.4,Medium
41,7,73,87,1,1,1,8.1,1,0,21.3,Low
42,4,78,46,1,0,2,4.7,1,0,44.3,Medium
43,9,66,88,1,1,5,2.8,1,0,22.4,Low
44,3,94,66,2,0,5,3.3,0,0,32.2,Medium
45,5,63,62,2,0,1,1.5,1,0,44.3,Medium
46,3,100,73,1,1,3,11.8,0,0,21.4,Low
47,7,67,49,1,0,2,12.3,1,1,45.8,Medium
48,5,99,82,1,1,5,10.2,0,0,16.1,Low
49,9,75,95,3,1,3,7.9,0,0,25.7,Low
50,7,90,83,1,1,2,16.2,1,0,18.5,Low
51,2,77,66,1,1,4,7.6,0,0,32.4,Medium
52,4,100,46,0,0,4,8.9,0,0,32.5,Medium
53,9,85,47,2,1,2,7.8,1,0,46.6,Medium
54,12,95,50,1,0,1,6.6,1,0,36.9,Medium
55,2,85,69,1,1,2,10.5,1,0,28.4,Low
56,10,88,71,0,1,2,5.5,1,0,21.3,Low
57,9,91,83,3,1,1,5.2,1,0,28.3,Low
58,10,79,43,0,1,1,10.7,1,0,40.9,Medium
59,5,72,89,1,0,3,6.0,0,0,20.2,Low
60,2,71,80,4,1,3,8.5,1,0,40.9,Medium
61,4,85,65,1,1,1,6.6,1,0,30.9,Medium
62,12,80,52,1,1,4,8.0,0,0,39.9,Medium
63,12,63,88,2,1,4,5.3,1,0,28.4,Low
64,7,90,65,1,0,2,5.4,1,0,29.3,Low
65,12,72,69,1,0,5,4.7,0,0,32.0,Medium
66,8,73,75,0,0,2,11.4,1,0,23.4,Low
67,3,84,56,0,1,2,8.7,1,0,31.5,Medium
68,1,75,65,2,0,5,11.7,0,0,38.5,Medium
69,4,86,82,1,0,1,12.1,1,0,20.4,Low
70,2,100,81,0,0,4,6.2,0,0,11.5,Low
71,8,81,81,1,1,2,11.5,1,0,22.4,Low
72,4,74,52,0,0,5,7.9,0,0,36.6,Medium
73,2,86,66,1,0,3,7.4,0,0,29.8,Low
74,6,77,64,1,0,2,13.0,1,0,33.8,Medium
75,6,85,76,2,0,4,10.2,0,0,29.0,Low
76,10,88,75,2,0,1,6.6,1,0,29.0,Low
77,4,84,72,2,0,2,10.0,1,0,31.9,Medium
78,6,85,100,0,0,2,2.9,1,0,4.8,Low
79,2,86,65,0,1,5,9.0,0,0,25.2,Low
80,10,100,63,3,1,3,2.0,0,0,37.4,Medium
81,12,82,52,1,0,3,4.1,0,0,39.4,Medium
82,2,86,46,3,1,1,10.3,1,0,52.0,Medium
83,10,93,51,1,0,4,0.0,0,0,36.6,Medium
84,4,89,59,1,1,1,15.2,1,0,33.3,Medium
85,8,81,89,1,1,2,11.3,1,0,17.6,Low
86,7,94,70,3,0,2,0.6,1,0,35.1,Medium
87,12,76,72,0,0,3,17.6,0,0,24.2,Low
88,9,82,68,0,0,4,18.7,0,0,24.7,Low
89,8,77,75,3,0,5,7.3,0,0,36.9,Medium
90,5,90,91,3,1,4,4.3,0,0,23.5,Low
91,2,96,40,2,0,2,14.7,1,0,47.5,Medium
92,5,87,88,3,0,5,6.6,0,0,26.1,Low
93,8,85,32,0,0,4,8.6,1,0,45.4,Medium
94,10,76,70,0,0,4,12.9,0,0,25.3,Low
95,9,77,100,1,0,5,7.4,0,0,11.9,Low
96,12,73,80,1,0,2,7.0,1,0,25.4,Low
97,12,63,75,5,1,4,2.9,1,0,51.2,Medium
98,12,81,100,0,0,5,5.5,0,0,5.7,Low
99,9,82,59,1,0,2,7.0,1,0,35.3,Medium
100,1,100,76,3,1,5,3.0,0,0,29.4,Low
101,9,100,78,0,0,5,3.4,0,0,13.2,Low
102,7,90,62,2,1,4,8.1,0,0,35.9,Medium
103,9,100,63,1,1,2,0.6,1,0,27.5,Low
104,8,98,61,1,0,4,4.5,0,0,29.1,Low
105,1,64,71,2,0,1,15.8,1,0,38.6,Medium
106,12,95,78,0,0,1,6.6,1,0,15.1,Low
107,8,92,71,2,0,2,6.1,1,0,30.1,Medium
108,8,82,80,0,0,5,6.6,0,0,17.4,Low
109,11,70,40,0,0,4,6.7,0,0,45.1,Medium
110,3,90,66,0,0,4,10.3,0,0,23.5,Low
111,1,64,54,2,0,2,10.0,1,1,48.7,Medium
112,8,84,74,1,1,2,6.4,1,0,25.7,Low
113,3,78,74,2,0,1,7.1,1,0,32.6,Medium
114,3,72,68,2,0,3,13.3,0,0,37.8,Medium
115,1,96,77,0,0,2,2.0,1,0,15.3,Low
116,11,84,84,1,1,3,7.8,0,0,19.6,Low
117,5,86,69,4,0,2,8.5,1,0,43.1,Medium
118,10,94,54,1,1,5,4.9,0,0,34.4,Medium
119,7,84,46,2,0,5,7.5,0,0,47.2,Medium
120,10,89,70,1,1,1,4.4,1,0,26.7,Low
121,9,93,73,2,0,1,10.5,1,0,28.7,Low
122,12,90,55,0,0,3,2.6,0,0,30.2,Medium
123,7,87,80,1,0,2,12.2,1,0,21.2,Low
124,9,100,63,0,0,4,7.7,0,0,22.3,Low
125,8,97,45,1,0,1,6.2,1,0,39.3,Medium
126,12,84,88,3,0,4,4.0,0,0,27.1,Low
127,2,75,87,1,1,4,12.1,0,0,20.4,Low
128,1,91,39,0,1,2,5.4,1,0,39.6,Medium
129,7,87,61,0,0,3,3.3,0,0,27.5,Low
130,7,100,60,0,0,2,12.2,1,0,24.3,Low
131,8,94,94,1,0,1,4.4,1,0,10.8,Low
132,5,92,68,2,1,4,7.6,0,0,31.7,Medium
133,3,85,47,1,0,2,11.3,1,0,41.6,Medium
134,12,76,83,4,1,2,8.6,1,0,37.7,Medium
135,8,83,51,2,0,2,14.9,1,0,44.8,Medium
136,6,89,66,1,0,1,4.7,1,0,29.1,Low
137,11,67,58,1,1,3,7.2,1,0,40.3,Medium
138,3,97,61,1,1,2,7.5,1,0,29.6,Low
139,1,100,84,1,0,1,10.5,1,0,15.0,Low
140,3,65,92,0,0,4,13.2,1,0,15.4,Low
141,5,70,50,1,1,5,8.3,0,0,44.0,Medium
142,3,87,79,2,0,1,7.4,1,0,26.9,Low
143,1,79,59,1,1,5,2.1,0,0,35.9,Medium
144,5,87,59,3,0,2,8.4,1,0,43.8,Medium
145,10,84,77,0,1,2,5.4,1,0,18.9,Low
146,7,74,54,0,1,1,10.5,1,0,35.8,Medium
147,7,97,77,1,0,5,6.4,0,0,19.7,Low
148,11,89,80,1,1,2,7.0,1,0,20.6,Low
149,9,79,63,0,0,4,2.2,0,0,28.6,Low
150,10,100,89,2,0,3,0.8,0,0,16.8,Low
151,10,79,50,1,0,3,15.4,0,0,41.5,Medium
152,12,72,90,2,0,2,8.5,1,0,24.7,Low
153,3,86,40,2,1,5,9.6,0,0,50.2,Medium
154,7,88,100,0,0,2,4.4,1,0,3.9,Low
155,1,90,63,0,0,5,11.5,0,0,25.2,Low
156,4,91,52,1,0,4,10.8,0,0,36.6,Medium
157,4,90,66,1,0,5,4.8,0,0,28.4,Low
158,5,89,54,1,0,2,3.8,1,0,36.2,Medium
159,7,79,75,0,1,4,5.1,0,0,21.4,Low
160,7,78,90,1,1,1,7.9,1,0,18.0,Low
161,11,92,55,0,1,3,8.7,0,0,29.6,Low
162,4,87,78,0,0,2,8.2,1,0,17.4,Low
163,7,93,47,2,0,2,13.2,1,0,44.2,Medium
164,11,67,85,0,0,2,5.1,1,0,19.2,Low
165,3,79,76,0,0,4,3.7,0,0,20.8,Low
166,6,100,86,2,0,1,8.0,1,0,18.8,Low
167,12,90,68,3,0,5,1.2,0,0,37.2,Medium
168,2,87,63,0,0,1,10.8,1,0,26.5,Low
169,10,92,82,0,1,4,8.4,0,0,13.3,Low
170,9,100,50,0,0,2,6.6,1,0,30.3,Medium
171,5,100,43,0,0,3,6.4,0,0,34.4,Medium
172,6,69,69,2,0,2,11.6,1,0,38.2,Medium
173,12,72,64,2,0,5,11.5,0,0,40.0,Medium
174,12,68,78,1,1,3,7.0,1,0,28.0,Low
175,12,77,86,1,0,2,10.4,1,0,20.6,Low
176,12,85,77,0,0,3,11.5,0,0,18.5,Low
177,4,87,85,1,0,1,9.3,1,0,18.3,Low
178,11,69,74,1,0,4,7.2,1,0,30.0,Low
179,10,66,77,0,0,2,9.5,1,0,24.3,Low
180,7,77,68,2,1,5,3.8,0,0,36.1,Medium
181,12,94,76,2,1,1,8.3,1,0,26.6,Low
182,9,95,72,0,1,2,7.1,1,0,18.6,Low
183,7,100,74,2,0,1,6.4,1,0,26.0,Low
184,1,84,67,0,1,5,1.1,0,0,24.6,Low
185,1,93,82,0,0,2,3.9,1,0,13.2,Low
186,9,95,59,1,0,5,6.1,0,0,31.1,Medium
187,11,80,69,0,1,3,11.6,0,0,24.8,Low
188,9,88,89,1,0,5,9.1,0,0,15.2,Low
189,4,91,55,0,0,3,11.8,0,0,29.9,Low
190,9,75,37,0,1,2,13.0,1,0,45.6,Medium
191,3,100,75,0,0,3,9.3,0,0,15.2,Low
192,7,84,66,0,0,2,8.6,1,0,25.5,Low
193,6,85,85,1,0,2,4.1,1,0,18.8,Low
194,8,75,68,0,1,4,15.9,0,0,26.8,Low
195,11,77,60,2,1,2,2.3,1,0,41.2,Medium
196,9,63,68,1,1,3,8.5,1,0,35.5,Medium
197,5,85,86,1,0,4,11.3,0,0,18.0,Low
198,1,100,78,1,0,4,11.4,0,0,18.3,Low
199,3,74,33,0,0,2,3.4,1,0,48.3,Medium
200,10,100,72,1,0,5,6.3,0,0,21.8,Low
201,12,99,73,3,0,5,4.8,0,0,31.5,Medium
202,8,80,69,1,0,4,0.1,0,0,29.7,Low
203,11,85,60,2,0,2,8.5,1,0,38.8,Medium
204,6,83,87,1,1,5,5.1,0,0,17.9,Low
205,8,100,88,1,0,2,14.0,1,0,12.5,Low
206,9,90,36,3,0,2,10.5,1,0,56.7,Medium
207,4,96,58,3,0,4,8.2,0,0,41.5,Medium
208,1,88,67,0,1,4,6.1,0,0,23.5,Low
209,1,83,84,2,1,1,8.5,1,0,25.1,Low
210,10,88,70,0,1,5,7.0,0,0,21.6,Low
211,4,80,59,4,1,5,8.3,1,0,50.6,Medium
212,12,70,80,0,0,5,15.6,0,0,21.0,Low
213,7,93,66,0,0,3,3.7,0,0,22.7,Low
214,2,69,68,0,0,2,7.3,1,0,28.8,Low
215,3,82,69,1,0,4,10.8,0,0,29.1,Low
216,1,80,78,2,0,5,6.4,0,0,29.2,Low
217,5,91,65,2,0,1,14.3,1,0,34.1,Medium
218,1,100,80,0,1,5,10.7,0,0,12.0,Low
219,8,97,68,0,1,2,5.1,1,0,20.4,Low
220,1,91,53,0,1,2,8.8,1,0,31.2,Medium
221,11,78,69,1,1,4,5.2,0,0,30.3,Medium
222,1,83,54,0,1,3,4.8,0,0,32.9,Medium
223,2,81,70,2,0,4,7.4,0,0,33.8,Medium
224,2,80,82,1,0,5,13.1,0,0,21.8,Low
225,12,80,53,3,1,1,11.0,1,0,49.6,Medium
226,6,80,75,0,1,4,7.9,0,0,21.1,Low
227,7,80,57,2,0,3,11.1,0,0,42.0,Medium
228,5,94,73,2,1,4,9.1,0,0,28.1,Low
229,1,74,82,2,0,2,3.3,1,0,28.9,Low
230,1,77,38,0,0,5,7.4,1,0,44.1,Medium
231,3,69,53,1,1,5,7.7,1,0,42.5,Medium
232,2,99,64,1,0,5,11.0,0,0,26.9,Low
233,5,77,74,1,0,5,5.7,0,0,27.5,Low
234,12,91,67,2,0,5,4.3,0,0,32.5,Medium
235,10,89,69,1,1,5,7.8,0,0,26.9,Low
236,6,98,100,1,0,1,5.4,1,0,6.0,Low
237,7,82,51,1,1,3,6.7,0,0,40.0,Medium
238,4,75,87,1,0,5,7.7,0,0,20.3,Low
239,7,69,64,1,0,3,6.5,1,0,36.1,Medium
240,11,57,78,1,1,5,11.9,1,0,31.1,Medium
241,8,86,100,1,0,4,13.7,0,0,9.3,Low
242,11,92,80,1,1,5,11.5,0,0,19.4,Low
243,1,89,75,2,0,2,0.9,1,0,28.6,Low
244,6,69,93,0,1,1,5.4,1,0,13.9,Low
245,8,95,86,0,0,4,7.3,0,0,10.0,Low
246,5,78,58,0,0,4,0.6,0,0,31.9,Medium
247,4,75,74,0,0,2,4.5,1,0,23.4,Low
248,2,77,44,1,0,5,7.2,0,0,45.5,Medium
249,6,85,61,0,1,1,6.2,1,0,28.3,Low
250,6,70,74,1,0,4,8.0,0,0,29.7,Low
251,11,84,60,2,0,1,2.5,1,0,39.2,Medium
252,1,89,74,0,0,4,6.2,0,0,19.0,Low
253,9,96,69,1,0,5,8.6,0,0,24.8,Low
254,12,86,78,3,1,4,8.0,0,0,32.5,Medium
255,11,71,63,2,0,4,9.8,0,0,41.0,Medium
256,6,86,55,0,1,3,9.6,0,0,31.4,Medium
257,3,74,92,1,1,5,6.4,0,0,17.6,Low
258,4,73,62,1,1,2,8.5,1,0,36.2,Medium
259,12,71,79,1,0,2,4.8,1,0,26.6,Low
260,11,65,91,3,1,5,6.9,1,0,30.9,Medium
261,4,79,72,2,1,2,3.8,1,0,33.4,Medium
262,3,96,57,1,1,5,12.3,0,0,32.0,Medium
263,10,100,67,1,0,2,6.9,1,0,25.1,Low
264,3,79,85,2,1,3,12.3,0,0,25.5,Low
265,3,95,73,1,1,2,9.2,1,0,23.0,Low
266,4,81,51,0,1,4,4.5,0,0,35.2,Medium
267,7,68,78,0,0,5,9.0,1,0,22.8,Low
268,4,92,81,0,0,1,11.2,1,0,14.2,Low
269,9,87,64,1,1,1,7.7,1,0,30.9,Medium
270,1,100,79,1,0,5,8.3,0,0,17.6,Low
271,8,69,73,1,1,3,5.8,1,0,30.7,Medium
272,7,100,67,1,0,2,8.1,1,0,25.1,Low
273,2,100,50,1,0,3,9.0,0,0,35.2,Medium
274,8,84,86,1,0,1,5.7,1,0,18.6,Low
275,1,82,81,1,0,5,3.7,0,0,21.8,Low
276,11,77,78,1,1,5,13.2,0,0,25.1,Low
277,12,86,93,1,1,3,10.4,0,0,13.6,Low
278,9,83,84,1,1,3,5.8,0,0,19.9,Low
279,9,90,80,0,0,2,8.9,1,0,15.3,Low
280,2,82,36,1,1,4,2.1,1,0,48.9,Medium
281,7,99,87,3,1,4,0.1,0,0,23.2,Low
282,10,86,71,1,0,2,12.3,1,0,26.9,Low
283,3,82,74,3,0,4,8.9,0,0,36.1,Medium
284,7,95,74,1,1,1,7.8,1,0,22.5,Low
285,12,68,81,1,1,4,8.9,1,0,26.1,Low
286,10,88,86,2,1,2,20.0,1,0,22.3,Low
287,9,85,79,0,0,4,11.5,0,0,17.2,Low
288,4,70,77,1,1,5,3.8,0,0,27.8,Low
289,12,67,73,1,0,3,1.3,1,0,31.3,Medium
290,1,95,30,0,0,1,12.2,1,0,43.9,Medium
291,2,94,65,0,0,5,11.4,0,0,22.8,Low
292,1,86,55,1,0,5,10.3,0,0,36.2,Medium
293,12,100,88,2,0,2,4.7,1,0,17.5,Low
294,5,89,79,3,0,3,9.5,0,0,31.1,Medium
295,5,97,63,2,1,3,5.1,0,0,33.3,Medium
296,11,89,64,1,1,1,10.7,1,0,30.3,Medium
297,7,82,64,2,0,2,11.9,1,0,37.3,Medium
298,9,74,63,0,1,1,5.8,1,0,30.4,Medium
299,9,78,48,1,0,4,12.5,0,0,42.9,Medium
300,3,82,45,2,0,5,8.5,0,0,48.4,Medium
301,3,98,70,3,1,1,10.0,1,0,34.0,Medium
302,3,92,86,0,0,5,2.8,0,0,10.8,Low
303,4,88,61,0,0,2,8.9,1,0,27.3,Low
304,8,93,74,0,0,4,5.3,0,0,17.8,Low
305,6,90,81,1,0,2,9.9,1,0,19.7,Low
306,8,87,55,1,1,4,13.9,0,0,36.0,Medium
307,1,70,69,2,0,4,9.2,0,0,37.7,Medium
308,8,96,60,0,0,5,4.4,0,0,25.2,Low
309,4,80,94,1,0,2,10.5,1,0,14.9,Low
310,11,95,93,0,1,2,9.6,1,0,6.0,Low
311,1,96,55,0,0,1,16.2,1,0,28.6,Low
312,8,78,75,1,1,2,9.0,1,0,26.9,Low
313,4,94,86,1,0,1,5.7,1,0,15.6,Low
314,6,81,82,1,0,3,11.1,0,0,21.7,Low
315,8,81,71,2,0,3,7.5,0,0,33.3,Medium
316,4,87,89,1,0,3,8.3,0,0,15.7,Low
317,3,87,56,1,0,2,4.3,1,0,35.6,Medium
318,9,85,65,1,0,2,7.5,1,0,30.8,Medium
319,3,71,56,1,1,1,8.1,1,0,40.5,Medium
320,9,83,81,2,0,4,7.5,0,0,26.6,Low
321,2,100,61,0,1,1,5.6,1,0,23.8,Low
322,2,57,67,0,0,3,9.2,1,0,32.9,Medium
323,2,93,79,0,0,1,4.3,1,0,15.1,Low
324,6,95,80,0,0,4,3.4,0,0,13.6,Low
325,3,71,56,0,1,2,10.8,1,0,35.4,Medium
326,9,80,85,0,0,1,10.5,1,0,15.4,Low
327,4,74,76,3,0,3,2.8,0,0,37.4,Medium
328,1,100,53,3,0,3,0.7,0,0,43.4,Medium
329,4,96,50,1,0,2,4.0,1,0,36.5,Medium
330,1,96,69,0,0,1,7.5,1,0,20.2,Low
331,5,86,82,1,0,4,12.6,0,0,20.1,Low
332,4,98,83,0,0,2,7.4,1,0,11.1,Low
333,8,84,75,2,0,1,4.9,1,0,30.2,Medium
334,8,98,70,3,1,5,8.6,0,0,33.6,Medium
335,7,83,77,0,0,3,7.5,0,0,19.1,Low
336,3,78,57,4,0,4,2.5,1,0,52.5,Medium
337,1,100,95,2,0,4,2.5,0,0,13.1,Low
338,1,84,95,1,1,4,2.6,0,0,12.9,Low
339,12,76,76,0,0,3,17.9,0,0,21.8,Low
340,11,75,72,3,0,1,11.4,1,0,39.7,Medium
341,3,75,63,1,0,2,5.6,1,0,35.0,Medium
342,6,93,77,1,0,1,12.4,1,0,21.3,Low
343,7,84,59,0,0,2,5.7,1,0,29.7,Low
344,6,100,36,0,1,4,12.3,1,0,38.5,Medium
345,6,96,30,1,1,1,8.3,1,0,48.6,Medium
346,6,87,58,1,1,4,5.4,0,0,34.2,Medium
347,3,99,72,1,0,5,10.7,0,0,22.1,Low
348,6,80,74,1,0,4,8.6,0,0,26.7,Low
349,8,66,62,0,0,4,9.6,1,0,33.1,Medium
350,11,75,72,0,0,2,8.9,1,0,24.6,Low
351,11,86,65,0,0,5,8.8,0,0,25.2,Low
352,2,82,55,0,1,4,11.2,0,0,32.5,Medium
353,5,93,69,1,0,4,18.3,0,0,25.8,Low
354,1,83,82,2,0,5,13.0,0,0,25.9,Low
355,12,92,55,2,0,5,8.9,0,0,39.4,Medium
356,1,100,55,1,0,1,6.8,1,0,32.4,Medium
357,5,83,53,1,0,2,7.2,1,0,38.6,Medium
358,12,90,40,1,1,5,3.0,0,0,44.0,Medium
359,3,67,62,2,0,5,10.7,1,0,42.7,Medium
360,4,83,80,1,1,3,3.9,0,0,22.3,Low
361,3,72,72,0,1,5,6.5,0,0,25.2,Low
362,1,86,67,0,1,2,10.7,1,0,24.3,Low
363,1,87,71,1,0,4,7.1,0,0,26.4,Low
364,12,87,62,2,0,4,6.0,0,0,36.8,Medium
365,12,80,40,1,0,4,3.2,0,0,47.1,Medium
366,5,100,81,0,1,4,12.8,0,0,11.5,Low
367,6,72,86,0,0,3,4.7,0,0,17.0,Low
368,3,71,59,1,1,5,5.7,0,0,38.3,Medium
369,12,100,67,1,0,4,0.8,0,0,24.9,Low
370,9,77,66,0,0,1,7.9,1,0,27.7,Low
371,5,75,75,2,0,4,6.7,0,0,32.6,Medium
372,8,100,95,0,0,5,8.7,0,0,3.0,Low
373,1,94,87,1,0,4,3.3,0,0,14.7,Low
374,5,79,64,1,1,3,10.9,0,0,33.1,Medium
375,3,87,78,1,1,2,0.6,1,0,22.4,Low
376,12,100,88,0,1,2,7.6,1,0,7.5,Low
377,1,91,76,1,1,5,8.5,0,0,22.1,Low
378,4,97,69,2,1,2,8.2,1,0,29.8,Low
379,5,93,76,1,0,2,8.6,1,0,21.8,Low
380,7,94,59,1,1,1,11.2,1,0,31.8,Medium
381,1,85,61,1,0,5,13.3,0,0,32.9,Medium
382,3,85,54,0,0,5,7.4,0,0,32.1,Medium
383,2,87,74,3,1,2,4.1,1,0,34.8,Medium
384,9,92,68,2,0,2,10.2,1,0,31.9,Medium
385,10,82,57,0,0,2,6.9,1,0,31.5,Medium
386,6,86,67,1,0,3,13.1,0,0,29.2,Low
387,10,81,77,2,0,4,5.6,0,0,29.6,Low
388,3,86,98,1,1,3,4.6,0,0,10.6,Low
389,8,72,85,1,0,5,8.6,0,0,22.4,Low
390,8,100,35,2,0,1,1.0,1,0,49.4,Medium
391,2,77,73,0,0,4,6.1,0,0,23.2,Low
392,6,81,91,2,0,1,6.7,1,0,21.5,Low
393,7,76,49,2,1,5,8.9,0,0,47.8,Medium
394,2,91,78,4,0,5,4.0,1,0,35.9,Medium
395,11,83,66,0,0,1,4.5,1,0,25.9,Low
396,10,75,87,1,1,1,12.6,1,0,20.7,Low
397,2,91,76,2,1,1,7.9,1,0,27.5,Low
398,10,92,56,3,1,5,11.5,0,0,43.8,Medium
399,1,84,66,0,1,2,5.8,1,0,25.5,Low
